material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,1.0545161290322582,6.6333585345077892596404345563385180481742473514614864648454558066692685363552478E-19,0,0,0E-79,1
carbon,6,1.0560215053763442,6.5756322632385601083152442208124616185660548998769042060108771728607855514314301E-19,0,0,0E-79,1
carbon,6,1.0575268817204302,6.5182876197112520312635050232912250881965969325462085450842566706940647546244147E-19,0,0,0E-79,1
carbon,6,1.0590322580645162,6.4613226102496651049519417651717052433365020935162179683576729338934115134579081E-19,0,0,0E-79,1
carbon,6,1.0605376344086022,6.4047352507791945163090560717269138494899170603080764970248803464567660621677206E-19,0,0,0E-79,1
carbon,6,1.0620430107526881,6.3485235667821756562458628216038690210063433520904266672299121639552704711660777E-19,0,0,0E-79,1
carbon,6,1.0635483870967741,6.2926855932534149546607073803249826698744946136928545563027528965928169139081522E-19,0,0,0E-79,1
carbon,6,1.0650537634408603,6.2372193746559541328041775044191621245339149296303291501476014953636790560989783E-19,0,0,0E-79,1
carbon,6,1.0665591397849463,6.1821229648770363843859809446099739238552985087114533251076556469734614240482356E-19,0,0,0E-79,1
carbon,6,1.0680645161290323,6.1273944271842192262119930244158389958059105833248415669662662618050613449789730E-19,0,0,0E-79,1
carbon,6,1.0695698924731183,6.0730318341817580293536676731616798990257751223489278821220780775624258857959118E-19,0,0,0E-79,1
carbon,6,1.0710752688172043,6.0190332677671524073609507019153123451735982368509078900613047762344860560842857E-19,0,0,0E-79,1
carbon,6,1.0725806451612905,5.9653968190878917652009636786688294498341281881443125816985876353046291801960197E-19,0,0,0E-79,1
carbon,6,1.0740860215053765,5.9121205884984343719152367178044820135689658734503612731136053631502439996418736E-19,0,0,0E-79,1
carbon,6,1.0755913978494624,5.8592026855173157922619185149670618702875161351743487628521867450363651507101038E-19,0,0,0E-79,1
carbon,6,1.0770967741935484,5.8066412287845072569954592086382041425974114722928708888770013619405273642996037E-19,0,0,0E-79,1
carbon,6,1.0786021505376344,5.7544343460189687410649279953914462096025146964252027661449638315740850077192862E-19,0,0,0E-79,0
carbon,6,1.0801075268817204,5.7025801739763684099494740252787326547611841048633295606758360401903376383576355E-19,0,0,0E-79,0
carbon,6,1.0816129032258064,5.6510768584070131892009862509162369631195513494947239971334779959911197829027975E-19,0,0,0E-79,0
carbon,6,1.0831182795698924,5.5999225540139684393555194941599684256247346501610592056807742629532437181355654E-19,0,0,0E-79,0
carbon,6,1.0846236559139786,5.5491154244113626613659383059702036487151510485299385705758299251123655506390414E-19,0,0,0E-79,0
carbon,6,1.0861290322580646,5.4986536420829167700468292384273175613256256957475276527405467385683946655307242E-19,0,0,0E-79,0
carbon,6,1.0876344086021505,5.4485353883405992507861192559526505945314308270172602630482593568434343792541560E-19,0,0,0E-79,0
carbon,6,1.0891397849462365,5.3987588532835214070878267884682850444677919001015890269101482974483283967745012E-19,0,0,0E-79,0
carbon,6,1.0906451612903225,5.3493222357570203561299501025413888141048676848995656823957216425068016502133274E-19,0,0,0E-79,0
carbon,6,1.0921505376344087,5.3002237433118964236301795454827863667633134138004844379433707952770338625202900E-19,0,0,0E-79,0
carbon,6,1.0936559139784947,5.2514615921638863581230575762109611319501308964881253429852073211998932222490960E-19,0,0,0E-79,0
carbon,6,1.0951612903225807,5.2030340071532537623148044329127055926681098820757032681410889872076907961581464E-19,0,0,0E-79,0
carbon,6,1.0966666666666667,5.1549392217046296991569303320066091269730845277935218778486435590991107913089059E-19,0,0,0E-79,0
carbon,6,1.0981720430107527,5.1071754777870046751035979993398434652935719278280969644825992231071436071490543E-19,0,0,0E-79,0
carbon,6,1.0996774193548386,5.0597410258739135325601320627269798129121735369168236340464609012608264857346364E-19,0,0,0E-79,0
carbon,6,1.1011827956989246,5.0126341249037870113738629393242177050926122744404096028415879833348579288997207E-19,0,0,0E-79,0
carbon,6,1.1026881720430108,4.9658530422405101673684602676052450576306556829159277804983363965917796495831760E-19,0,0,0E-79,0
carbon,6,1.1041935483870968,4.9193960536341610083111605492142793359807329451523962895376028123041360613748450E-19,0,0,0E-79,0
carbon,6,1.1056989247311828,4.8732614431818827260547374706411017511002943545011563198006216826369797740574112E-19,0,0,0E-79,0
