instance,row,col,x,y
u_spu26/node_290,62,66,0.4629629629629629,0.9814814814814814
u_spu26/node_291,61,72,0.5,0.9074074074074073
u_spu26/node_292,63,72,0.5,0.9814814814814814
u_spu26/node_293,61,76,0.537037037037037,0.9074074074074073
u_spu26/node_294,63,76,0.537037037037037,0.9444444444444443
u_spu26/node_295,62,75,0.537037037037037,0.9814814814814814
u_spu26/node_296,47,81,0.5740740740740741,0.6851851851851851
u_spu26/node_297,50,81,0.5740740740740741,0.7222222222222222
u_spu26/node_298,52,81,0.5740740740740741,0.7592592592592592
u_spu26/node_299,47,86,0.611111111111111,0.6851851851851851
u_spu26/node_300,52,86,0.611111111111111,0.7592592592592592
u_spu26/node_301,47,90,0.6481481481481481,0.6851851851851851
u_spu26/node_302,50,90,0.6481481481481481,0.7222222222222222
u_spu26/node_303,52,90,0.6481481481481481,0.7592592592592592
u_spu26/node_304,54,81,0.5740740740740741,0.7962962962962962
u_spu26/node_305,56,81,0.5740740740740741,0.8333333333333331
u_spu26/node_306,59,81,0.5740740740740741,0.8703703703703702
u_spu26/node_307,54,86,0.611111111111111,0.7962962962962962
u_spu26/node_308,59,86,0.611111111111111,0.8703703703703702
u_spu26/node_309,54,90,0.6481481481481481,0.7962962962962962
u_spu26/node_310,56,90,0.6481481481481481,0.8333333333333331
u_spu26/node_311,59,90,0.6481481481481481,0.8703703703703702
u_spu26/node_312,61,81,0.5740740740740741,0.9074074074074073
u_spu26/node_313,63,81,0.5740740740740741,0.9444444444444443
u_spu26/node_314,62,80,0.5740740740740741,0.9814814814814814
u_spu26/node_315,61,86,0.611111111111111,0.9074074074074073
u_spu26/node_316,63,86,0.611111111111111,0.9814814814814814
u_spu26/node_317,61,90,0.6481481481481481,0.9074074074074073
u_spu26/node_318,63,90,0.6481481481481481,0.9444444444444443
u_spu26/node_319,62,89,0.6481481481481481,0.9814814814814814
u_spu26/node_320,5,95,0.6851851851851851,0.018518518518518517
u_spu26/node_321,8,95,0.6851851851851851,0.05555555555555555
u_spu26/node_322,10,95,0.6851851851851851,0.09259259259259259
u_spu26/node_323,5,100,0.7222222222222222,0.018518518518518517
u_spu26/node_324,10,100,0.7222222222222222,0.09259259259259259
u_spu26/node_325,5,104,0.7592592592592592,0.018518518518518517
u_spu26/node_326,8,104,0.7592592592592592,0.05555555555555555
u_spu26/node_327,10,104,0.7592592592592592,0.09259259259259259
u_spu26/node_328,12,95,0.6851851851851851,0.12962962962962962
u_spu26/node_329,14,95,0.6851851851851851,0.16666666666666666
u_spu26/node_330,17,95,0.6851851851851851,0.2037037037037037
u_spu26/node_331,12,100,0.7222222222222222,0.12962962962962962
u_spu26/node_332,17,100,0.7222222222222222,0.2037037037037037
u_spu26/node_333,12,104,0.7592592592592592,0.12962962962962962
u_spu26/node_334,14,104,0.7592592592592592,0.16666666666666666
u_spu26/node_335,17,104,0.7592592592592592,0.2037037037037037
u_spu26/node_336,19,95,0.6851851851851851,0.24074074074074073
u_spu26/node_337,22,95,0.6851851851851851,0.2777777777777778
u_spu26/node_338,24,95,0.6851851851851851,0.31481481481481477
u_spu26/node_339,19,100,0.7222222222222222,0.24074074074074073
u_spu26/node_340,24,100,0.7222222222222222,0.31481481481481477
u_spu26/node_341,19,104,0.7592592592592592,0.24074074074074073
u_spu26/node_342,22,104,0.7592592592592592,0.2777777777777778
u_spu26/node_343,24,104,0.7592592592592592,0.31481481481481477
u_spu26/node_344,5,109,0.7962962962962962,0.018518518518518517
u_spu26/node_345,8,109,0.7962962962962962,0.05555555555555555
u_spu26/node_346,10,109,0.7962962962962962,0.09259259259259259
u_spu26/node_347,5,114,0.8333333333333331,0.018518518518518517
u_spu26/node_348,10,114,0.8333333333333331,0.09259259259259259
u_spu26/node_349,5,119,0.8703703703703702,0.018518518518518517
